排名,商品名称,售价,国家/地区,所属店铺,店铺销量,商品分类,佣金比例,三日销量,三日销售额,总销量,总销售额,商品链接
1,"vnew โอโม ซันชายน์ ผงซักฟอก 1ถุง ขนาด 2600 กรัม omo sunshine 2600g. โอโม่ซันชายน์",฿115.00,泰国,มีใจค้าส่ง,267661,居家日用,1%,1090,฿12.53万,1090,฿12.53万,https://www.fastmoss.com/zh/e-commerce/detail/1734388165694883681
2,"[ตะกร้าคนโสด] เครื่องหอม จงเจริญ [ขนาดเล็ก EMBRYO] SINGLE PACK",฿325.00,泰国,jongjaroenpanich,67102,居家日用,8%,228,฿7.41万,230,฿7.47万,https://www.fastmoss.com/zh/e-commerce/detail/1734294775887267267
3,"อินเซ็น น้ำหอมรถยนต์ แบบแขวน รุ่น คาร์บอล หอมนานหลายสัปดาห์ กล่องใหม่ปี 2026",฿59.00,泰国,inzen.sjk,772,居家日用,11.5%,183,฿1.08万,183,฿1.08万,https://www.fastmoss.com/zh/e-commerce/detail/1734389174564521544
4,"ราวตากผ้า สแตนเลส304 3 ราวพับเก็บง่าย ระเบียง ไม่เป็นสนิม รับน้ำหนักมากถึง 4000 กิโล ที่ตากผ้า ราวตากเสื้อผ้าพับเก็บได้ ยืดหดได้ มีให้เลือก เส้นผ่านศูนย์กลางท่อ 2.8cm แข็งแรง ทน มีล้อ แขวน พับได้ หมุน360 องศา ราวตาก ผ้าพับได้",฿480.00,泰国,q4-c,581,居家日用,5%,180,฿8.48万,174,฿8.39万,https://www.fastmoss.com/zh/e-commerce/detail/1734394304080349157
5,"T01 ทานตะวันเกาหลี6ก้าน สวยๆ",฿62.00,泰国,โฮม ฟลาวเวอร์ 1996,21412,居家日用,5%,130,฿8060,130,฿8060,https://www.fastmoss.com/zh/e-commerce/detail/1734397467003618431
6,".ขนาดใหญ่ขึ้น ราวแขวนผ้าหกเหลี่ยม ราวแขวนผ้ามีล้อเลื่อน ราวตากผ้า 2 ชั้น ราวแขวนผ้า มัลติฟังชั่น ประกอบง่ายมีให้เลือก3แบ",฿155.00,泰国,031 rey,101,居家日用,1%,99,฿1.53万,99,฿1.51万,https://www.fastmoss.com/zh/e-commerce/detail/1734379275178575340
7,"กุหลาบ งานเดี่ยว 1 ต้น 189บาท…………………………………",฿189.00,泰国,ROSE SEE,383,居家日用,-,97,฿1.83万,97,฿1.83万,https://www.fastmoss.com/zh/e-commerce/detail/1732373967852832128
8,"เทียนหอมรูปหัวใจ คละสี ของปัจฉิม",฿25.50 - 1,020.00,泰国,Miny candle,96,居家日用,-,96,฿2448,96,฿2448,https://www.fastmoss.com/zh/e-commerce/detail/1730001652329384637
9,"(LIVE) ใหม่!! ยกลัง50ห่อ คุมะ168 Extra x3 กระดาษทิชชู่เช็ดหน้าคุมะ 336 แผ่น หนา 3 ชั้น กระดาษชำระ",฿990.00,泰国,ทิชชู่ชลบุรี ราคาปลีก-ส่ง,7423257,居家日用,1%,96,฿9.50万,96,฿9.46万,https://www.fastmoss.com/zh/e-commerce/detail/1734391413970142226
10,"โบว์แดง โบว์ผูกกระถางธูป สำหรับผูกกระถางธูป ไหว้เจ้า องค์เทพ มี 5 ขนาด 2.5, 3.5, 4, 5, 6 นิ้ว",฿95.00,泰国,ของอร่อยเยาวราช,2391,居家日用,-,87,฿8265,87,฿8265,https://www.fastmoss.com/zh/e-commerce/detail/1731307975210992757
