排名,商品名称,售价,国家/地区,所属店铺,店铺销量,商品分类,佣金比例,销量,销售额,日关联达人,总关联达人,商品链接
1,ครีมโสมไฮยา Intensive Active Ginseng Hya Night Cream,฿299.00,泰国,YerpallThailand,3396700,保湿乳液、乳霜与喷雾,15%,2389,฿71.43万,360,1.54万,https://www.fastmoss.com/zh/e-commerce/detail/1729734701700713167
2,"[ห่อใหญ่ 30 ซอง ] Foundercolly Ping Ping C Blinks ฟาวเดอร์คอลลี่ กลูต้าปิ๊งปิ๊ง กลูต้าไลโปโ�มอล+CoQ10+SOD",฿312.00,泰国,FounderskinOfficial,2344200,美容保健食品,20%,4156,฿113.87万,352,6913,https://www.fastmoss.com/zh/e-commerce/detail/1732319757200885341
3,เซรั่มสตอเบอรี่ สูตรใหม่ 15 ML. (แถมเฟิร์สแคร์สูตรใหม่ 1 ซอง),฿434.00,泰国,YerpallThailand,3396700,面部精华液,15%,743,฿28.97万,307,1.72万,https://www.fastmoss.com/zh/e-commerce/detail/1729430552475437775
4,"น้ำตบคุณโจ้ NAWANNA lovely essence น้ำตบ น้ำตบผิวหน้า คุณโจ้",฿204.42,泰国,NAWANNA,2323700,面部精华液,18%,3810,฿73.24万,276,3565,https://www.fastmoss.com/zh/e-commerce/detail/1730422880263113480
5,"BLAHMBOOH น้ำตบไมโครเอสเซนส์ (ขนาด 100 ml.) เหมาะกับผู้มีปัญหารูขุมขนกว้าง ผิวหน้าไม่เรียบเนียน ไม่กระจ่างใส ไม่อิ่มฟู",฿386.00,泰国,blahmboohthailand,815769,面部精华液,15%,2326,฿78.85万,218,4660,https://www.fastmoss.com/zh/e-commerce/detail/1729425320905312809
6,ครีมฟิลเลอร์คุณโจ้ ครีมซองคุณโจ้ NAWANNA ครีมซองแดง คุณโจ้,฿192.24,泰国,NAWANNA,2323700,保湿乳液、乳霜与喷雾,30%,1213,฿26.95万,203,4988,https://www.fastmoss.com/zh/e-commerce/detail/1729777789217901320
7,"[บริษัทโดยตรง] - JOSE PREMIUM BODY OIL โจเซ่ พรีเมียม บอดี้ ออยล์ ขนาด 150 ML.",฿199.00,泰国,JOSE Thailand,3075960,保湿油、按摩油,15%,1249,฿29.60万,193,6384,https://www.fastmoss.com/zh/e-commerce/detail/1731202606978861038
8,ยาสีฟันขิงขิง แบรนด์บียอน - โปรโมชั่น ซื้อ 1 หลอด แถมฟรี 1 หลอด,฿269.00,泰国,Noom341,3100294,牙膏,15%,5532,฿179.23万,191,2.57万,https://www.fastmoss.com/zh/e-commerce/detail/1729432562504535016
9,"[1 แถม 1 ] KATHY AMREZ โกลเด้นไฮยา ทิ้นท์ บลัชแถม เบี้พัฟ (จำนวนจำกัด หรือ จนกว่าสินค้าแถมจะหมด)",฿177.67,泰国,Kathy Cosmetics,4779890,腮红,15%,2522,฿44.80万,188,6029,https://www.fastmoss.com/zh/e-commerce/detail/1731703329933460673
10,"[โทนอัพพี่ดารา!!] โทนอัพฟิลเตอร์ชับบี้ Chubby Daily Filter Tone Up 100 g.",฿263.00,泰国,CHUBBY,900946,身体霜、乳,10%,865,฿20.67万,185,5974,https://www.fastmoss.com/zh/e-commerce/detail/1732221567668815991
