排名,产品名,类目,售价(泰铢),评分,佣金,7天销量,总销量,关联达人,达人出单率,是否上车,1688进货价(元),利润率,1688搜索关键词,店铺,店铺销量
1,Dearny香薰洗衣液(LUSH BLOOM SCENT),家用清洁剂,11.04,4.6,8%,89400,1401700,2146,76.84%,✅ 强推,3-5,30%-40%,香薰洗衣液/花朵洗衣液/LUSH BLOOM SCENT,Dearny8188,162.20万
2,MagicWall黑色垃圾袋,垃圾袋,19.99,4.6,7%,77800,1020600,1614,77.39%,✅ 强推,2-4,35%-45%,黑色垃圾袋/加厚垃圾袋/A类垃圾袋,MagicWall,105.56万
3,婴儿洗衣液3合1(柔顺+去渍+温和),婴儿洗衣液,11.00,4.7,8%,43800,347000,483,65.23%,✅ 推荐,4-6,25%-35%,婴儿洗衣液/宝宝洗衣液3合1/柔顺洗衣液,น้ำยาซักผ้า Factory Store,53.14万
4,装饰钩/架(免打孔),装饰钩、架,9.00,4.7,10%,90100,401000,5,34.92%,❌ 不推荐,1-2,20%-30%,装饰钩/免打孔挂钩,PD led shop,121.62万
5,GMB眉笔(防水+旋转+自带刷子),眉笔&眉粉&眉胶,6.90,4.8,12%,71300,5596000,12600,79.63%,❌ 非本类目,3-4,30%-40%,眉笔/防水眉笔/旋转眉笔,Nownow shop 000,1172.49万
6,身体乳(买1送1),身体霜、乳,99.00,4.8,5%,45600,405000,2110,78.63%,❌ 高客单,25-35,20%-25%,身体乳/身体霜/买一送一身体乳,Pretty Girl Thailand,86.15万
7,种子蔬菜(家庭种植),鲜花植物种子,7.00,4.8,10%,52200,2443200,1368,71.62%,❌ 非本类目,2-3,40%-50%,蔬菜种子/家庭种植种子/阳台蔬菜,ชนัสฎาการเกษตร,270.47万
8,洗澡手套(去角质),洗澡工具,9.99,4.7,10%,64100,332100,1549,78.47%,❌ 错过机会期,2-3,30%-40%,洗澡手套/去角质手套/搓澡巾,suibian39 shop,34.15万
9,毛线球(DIY手工),小众DIY手工,11.00,4.7,10%,57600,833100,1779,73.32%,❌ 非本类目,2-3,35%-45%,毛线球/DIY手工/毛线花,DIY i.QQ,167.32万
10,私处除臭霜(买1送2),私处除臭,105.00,4.9,6%,67000,556700,1868,80.11%,❌ 高客单,40-50,15%-25%,腋下除臭/止汗露/私处护理,ซ้อฝันช่องจริง ตะกร้าบริษัท,119.33万
